ds,arch,target,pred_MAE,ens_members,n_ens,D1_skew,D2_skew,D1_fire_logit_only,D1_fire_feat_only,D1_fire_both,D1_fire_hidden
OfficeHome,resnet,react,0.1203488137174538,,,-0.6840077782876968,-0.2668723218414003,,,,
OfficeHome,resnet,atc,0.0748153698240179,,,-0.882727672726993,-0.2755355244207411,,,,
OfficeHome,resnet,atc_ne,0.0713224622539177,,,-0.8790310368780759,-0.2747212288549183,,,,
OfficeHome,resnet,nuclear,0.0524433567230773,,,-0.4935874619276811,-0.6607013971816098,,,,
OfficeHome,resnet,naive,0.1770279212650043,,,-0.5015625357627869,-0.3015625476837158,,,,
NICO,resnet,ensemble,0.129542691632431,energy|gradnorm|mahalanobis|knn|vim|nuclear,6.0,0.3293496781011233,-0.6638186497084079,0.0,0.0,0.0,1.0
NICO,resnet,msp,0.3516548554370908,,,0.033088221023163,-0.2830882530712278,,,,
NICO,resnet,energy,0.1219302864433949,,,0.3457488223530618,-0.8455882668495178,,,,
NICO,resnet,entropy,0.3290142302980578,,,-0.0657957489929227,0.1544117331504821,,,,
NICO,resnet,gradnorm,0.1563157674941623,,,0.2656280720137765,-0.8362846484521055,,,,
NICO,resnet,mahalanobis,0.1269143883774185,,,0.310308235375488,-0.8320351452153086,,,,
NICO,resnet,knn,0.127495206655007,,,0.3248109113372888,-0.8276125553149981,,,,
NICO,resnet,vim,0.1642611977095479,,,0.2590138202822518,-0.7958030155689997,,,,
NICO,resnet,react,0.2570326456253365,,,0.1828064903192676,-0.8455882668495178,,,,
NICO,resnet,atc,0.2855513220913456,,,-0.1786431019420818,-0.2613602978998746,,,,
NICO,resnet,atc_ne,0.2882163643555577,,,0.0888101318550746,-0.2630249885899429,,,,
NICO,resnet,nuclear,0.1000464741366213,,,0.470588207244873,0.1544117331504821,,,,
NICO,resnet,naive,0.3614712587511497,,,0.372931957244873,0.0567554831504821,,,,
IWildCam,resnet,ensemble,0.071001383841698,msp|energy|entropy|gradnorm|mahalanobis|knn|vim|react|atc|atc_ne|nuclear,11.0,-0.025749099984757,-0.2921132622638464,0.0,0.0,0.0,1.0
IWildCam,resnet,msp,0.0823405345505528,,,-0.0349094569863741,-0.1777665913285677,,,,
IWildCam,resnet,energy,0.0891363250369872,,,-0.0367434411565679,-0.4840061078122651,,,,
IWildCam,resnet,entropy,0.0819895071743715,,,-0.0340464037080799,-0.1769035380502736,,,,
IWildCam,resnet,gradnorm,0.0687950707227958,,,-0.0216456709102554,-0.452336126864048,,,,
IWildCam,resnet,mahalanobis,0.0656388863173031,,,0.0232988957509706,-0.4312974605894019,,,,
IWildCam,resnet,knn,0.0590506148841289,,,0.0268117324432132,-0.4494155054195032,,,,
IWildCam,resnet,vim,0.0597130005846815,,,0.0201353426993875,-0.451353596756292,,,,
IWildCam,resnet,react,0.085449051668959,,,-0.0353616612085277,-0.4471635806112689,,,,
IWildCam,resnet,atc,0.0876949842974277,,,-0.2524483418406928,0.1553189569043309,,,,
IWildCam,resnet,atc_ne,0.0857646514950105,,,-0.2556710218171746,0.1210368338237057,,,,
IWildCam,resnet,nuclear,0.0610375416630564,,,0.3173399269017738,-0.4193591681987259,,,,
IWildCam,resnet,naive,0.2514867621956142,,,0.1459516882896423,0.0030945539474487,,,,
Office31,resnet,ensemble,0.07392591684821677,energy|gradnorm|mahalanobis|knn|vim|nuclear,6.0,0.20706846218889774,-0.48130699256431975,0.0,0.0,0.0,1.0
Office31,resnet,msp,0.2968684572843225,,,-0.03644715342010163,-0.03644715342010163,,,,
Office31,resnet,energy,0.15991900299541595,,,0.09794806572597892,-0.6279069781303406,,,,
Office31,resnet,entropy,0.2430834536210404,,,-0.20246793755008324,0.3720930218696594,,,,
Office31,resnet,gradnorm,0.17711041444275988,,,0.07284691436915658,-0.6279069781303406,,,,
Office31,resnet,mahalanobis,0.04945059484269111,,,0.26714779326600335,-0.5711755782177178,,,,
Office31,resnet,knn,0.050823559641245936,,,0.2125511201134499,-0.6031411853305896,,,,
Office31,resnet,vim,0.042819533241529865,,,0.22574989796517952,-0.5783052153239883,,,,
Office31,resnet,react,0.2303940557768971,,,-0.2132620992133819,0.13585787425474882,,,,
Office31,resnet,atc,0.27320948020777663,,,0.13524529879234892,-0.03677988764612583,,,,
Office31,resnet,atc_ne,0.2756221773132181,,,0.12917458273217064,-0.03732818764609602,,,,
Office31,resnet,nuclear,0.04876747907030372,,,0.3661669816936175,0.1205939797470581,,,,
Office31,resnet,naive,0.24072843491502688,,,0.13771802186965942,0.13771802186965942,,,,
Camelyon17,resnet,ensemble,0.13506713084177283,mahalanobis|knn|vim|react|atc|nuclear,6.0,0.06576039587016569,-0.6212139758414893,0.02666666731238365,0.0,0.0,0.9733333587646484
Camelyon17,resnet,msp,0.22644736118512368,,,-0.05031322883375988,-0.136979932057942,,,,
Camelyon17,resnet,energy,0.21015216485145485,,,-0.006160262858741605,-0.1146710657371025,,,,
Camelyon17,resnet,entropy,0.22644736118512368,,,-0.05031322883375988,-0.136979932057942,,,,
Camelyon17,resnet,gradnorm,0.21672313926819078,,,0.07888826246908609,0.10666662454605103,,,,
Camelyon17,resnet,mahalanobis,0.12539244692119605,,,0.11267084426854157,-0.5379407392377606,,,,
Camelyon17,resnet,knn,0.14979687260052563,,,0.07544194122988834,-0.5778765404558373,,,,
Camelyon17,resnet,vim,0.09730301439116391,,,0.17555893279947732,-0.5167744743153956,,,,
Camelyon17,resnet,react,0.1983067884243922,,,0.03711074980611784,-0.5520233390998283,,,,
Camelyon17,resnet,atc,0.20681877572427365,,,-0.007114181498227179,-0.893333375453949,,,,
Camelyon17,resnet,atc_ne,0.20681877572427365,,,-0.007114181498227179,-0.893333375453949,,,,
Camelyon17,resnet,nuclear,0.14280548617222133,,,0.0008940886151953542,-0.6493353864861648,,,,
Camelyon17,resnet,naive,0.22891732141481225,,,0.16598957777023315,0.07932287454605103,,,,
