ds,arch,source,target,pred_MAE_j,D1_skew,D2_skew
OfficeHome,resnet,msp,energy,0.05157509969827455,0.13476615012874452,-0.9927341636766448
OfficeHome,resnet,msp,entropy,0.05356415332499297,0.12488701566848401,-1.0
OfficeHome,resnet,msp,gradnorm,0.03347539969455802,0.2352307500687527,-0.8205335694819669
OfficeHome,resnet,msp,mahalanobis,0.02289512991829011,0.34941595078110077,-0.661838409473593
OfficeHome,resnet,msp,knn,0.024123347924708535,0.30145863381620164,-0.708501350246421
OfficeHome,resnet,msp,vim,0.05420646221387717,0.12072409237813125,-0.7890669666652416
OfficeHome,resnet,msp,react,0.060739905521395375,0.11355212382388265,-1.0
OfficeHome,resnet,energy,msp,0.05356476068727241,0.12489295089192187,-1.0
OfficeHome,resnet,energy,energy,0.05157509969827455,0.13476615012874452,-1.0
OfficeHome,resnet,energy,entropy,0.05356415332499297,0.12488701566848401,-1.0
OfficeHome,resnet,energy,gradnorm,0.03347539969455802,0.22726441858141705,-0.8922305537286177
OfficeHome,resnet,energy,mahalanobis,0.02289512991829011,0.34941595078110077,-0.8419081796279276
OfficeHome,resnet,energy,knn,0.024123347924708535,0.30145863381620164,-0.7981412089620472
OfficeHome,resnet,energy,vim,0.05420646221387717,0.0,-0.7890669666652416
OfficeHome,resnet,energy,react,0.060739905521395375,0.4782639623218467,-1.0
OfficeHome,resnet,entropy,msp,0.05356476068727241,0.12489295089192187,-1.0
OfficeHome,resnet,entropy,energy,0.05157509969827455,0.13476615012874452,-0.997834179049836
OfficeHome,resnet,entropy,entropy,0.05356415332499297,0.12488701566848401,-1.0
OfficeHome,resnet,entropy,gradnorm,0.03347539969455802,0.2352307500687527,-0.8284999018299325
OfficeHome,resnet,entropy,mahalanobis,0.02289512991829011,0.34941595078110077,-0.6730927697282867
OfficeHome,resnet,entropy,knn,0.024123347924708535,0.30145863381620164,-0.708501350246421
OfficeHome,resnet,entropy,vim,0.05420646221387717,0.06917612532164388,-0.7890669666652416
OfficeHome,resnet,entropy,react,0.060739905521395375,0.169661634641245,-1.0
OfficeHome,resnet,gradnorm,msp,0.05356476068727241,0.12489295089192187,-0.9930183006768085
OfficeHome,resnet,gradnorm,energy,0.05157509969827455,0.13476615012874452,-0.8856339003445842
OfficeHome,resnet,gradnorm,entropy,0.05356415332499297,0.12488701566848401,-0.9930126510546169
OfficeHome,resnet,gradnorm,gradnorm,0.03347539969455802,0.2352307500687527,-0.9957928639246111
OfficeHome,resnet,gradnorm,mahalanobis,0.02289512991829011,0.34941595078110077,-0.9544517846065588
OfficeHome,resnet,gradnorm,knn,0.024123347924708535,0.30145863381620164,-0.9873809050758666
OfficeHome,resnet,gradnorm,vim,0.05420646221387717,0.2109330333347584,-0.8792759076218688
OfficeHome,resnet,gradnorm,react,0.060739905521395375,0.0,-0.2972979459150803
OfficeHome,resnet,mahalanobis,msp,0.05356476068727241,0.12489295089192187,-0.9930183006768085
OfficeHome,resnet,mahalanobis,energy,0.05157509969827455,0.13476615012874452,-0.9366340254259625
OfficeHome,resnet,mahalanobis,entropy,0.05356415332499297,0.12488701566848401,-0.9930126510546169
OfficeHome,resnet,mahalanobis,gradnorm,0.03347539969455802,0.2352307500687527,-0.9639275345327484
OfficeHome,resnet,mahalanobis,mahalanobis,0.02289512991829011,0.34941595078110077,-0.9769604978208641
OfficeHome,resnet,mahalanobis,knn,0.024123347924708535,0.30145863381620164,-0.9674609434066881
OfficeHome,resnet,mahalanobis,vim,0.05420646221387717,0.2109330333347584,-0.8019539584293635
OfficeHome,resnet,mahalanobis,react,0.060739905521395375,0.0,-0.9706121545255667
OfficeHome,resnet,knn,msp,0.05356476068727241,0.12489295089192187,-0.9930183006768085
OfficeHome,resnet,knn,energy,0.05157509969827455,0.13476615012874452,-0.9111339617833297
OfficeHome,resnet,knn,entropy,0.05356415332499297,0.12488701566848401,-0.9930126510546169
OfficeHome,resnet,knn,gradnorm,0.03347539969455802,0.2352307500687527,-0.9957928639246111
OfficeHome,resnet,knn,mahalanobis,0.02289512991829011,0.34941595078110077,-0.9769604978208641
OfficeHome,resnet,knn,knn,0.024123347924708535,0.30145863381620164,-0.9873809050758666
OfficeHome,resnet,knn,vim,0.05420646221387717,0.2109330333347584,-0.8277279405653813
OfficeHome,resnet,knn,react,0.060739905521395375,0.0013330870349006069,-0.7742288545413927
OfficeHome,resnet,vim,msp,0.05356476068727241,0.05686723184803434,-0.8887121929168557
OfficeHome,resnet,vim,energy,0.05157509969827455,0.012365851696546415,-0.8652338498712555
OfficeHome,resnet,vim,entropy,0.05356415332499297,0.05686798018908651,-0.8887167914273955
OfficeHome,resnet,vim,gradnorm,0.03347539969455802,0.22726441858141705,-0.9957928639246111
OfficeHome,resnet,vim,mahalanobis,0.02289512991829011,0.3156528712328666,-0.9657061314869354
OfficeHome,resnet,vim,knn,0.024123347924708535,0.30145863381620164,-0.9674609434066881
OfficeHome,resnet,vim,vim,0.05420646221387717,0.2109330333347584,-1.0
OfficeHome,resnet,vim,react,0.060739905521395375,0.0,-0.21313367362733382
OfficeHome,resnet,react,msp,0.05356476068727241,0.08861256609535051,-0.9839481995782982
OfficeHome,resnet,react,energy,0.05157509969827455,0.07866601187806226,-0.8652338498712555
OfficeHome,resnet,react,entropy,0.05356415332499297,0.08861019543976903,-0.9748742389807049
OfficeHome,resnet,react,gradnorm,0.03347539969455802,0.2352307500687527,-0.9957928639246111
OfficeHome,resnet,react,mahalanobis,0.02289512991829011,0.30439850976232585,-0.7968907337457647
OfficeHome,resnet,react,knn,0.024123347924708535,0.30145863381620164,-0.9077010239667963
OfficeHome,resnet,react,vim,0.05420646221387717,0.2109330333347584,-1.0
OfficeHome,resnet,react,react,0.060739905521395375,0.0,-0.21313367362733382
Office31,resnet,msp,msp,0.1616591122550489,0.15376984523165793,-0.8462300951636973
Office31,resnet,msp,energy,0.14382713676388464,0.2367949888283254,-0.7787589395347551
Office31,resnet,msp,entropy,0.06652046736320458,0.09100877317158797,5.960464477539063e-08
Office31,resnet,msp,gradnorm,0.1469699725003051,0.21756985349835983,-0.7979405854936663
Office31,resnet,msp,mahalanobis,0.05865006727930101,0.8764641773137387,-0.04825666227067971
Office31,resnet,msp,knn,0.04681475576574693,0.6747192661376803,-0.2046913131659216
Office31,resnet,msp,vim,0.048467185912226665,0.5054707316603017,-0.020545413904804022
Office31,resnet,msp,react,0.11676587428720228,0.12604166883975268,-0.09031340935850862
Office31,resnet,energy,msp,0.1616591122550489,0.15376984523165793,-0.8462300951636973
Office31,resnet,energy,energy,0.14382713676388464,0.2367949888283254,-0.9999999403953552
Office31,resnet,energy,entropy,0.06652046736320458,0.09100877317158797,5.960464477539063e-08
Office31,resnet,energy,gradnorm,0.1469699725003051,0.21756985349835983,-0.9821277582611901
Office31,resnet,energy,mahalanobis,0.05865006727930101,0.943378933590127,-0.918148468858139
Office31,resnet,energy,knn,0.04681475576574693,0.6463453054749356,-0.9636948909597486
Office31,resnet,energy,vim,0.048467185912226665,0.14998289903281548,-0.09672137707532236
Office31,resnet,energy,react,0.11676587428720228,0.12604166883975268,5.960464477539063e-08
Office31,resnet,entropy,msp,0.1616591122550489,0.15376984523165793,-0.8462300951636973
Office31,resnet,entropy,energy,0.14382713676388464,0.2367949888283254,-0.829864895445099
Office31,resnet,entropy,entropy,0.06652046736320458,0.09100877317158797,5.960464477539063e-08
Office31,resnet,entropy,gradnorm,0.1469699725003051,0.21756985349835983,-0.8095734602139919
Office31,resnet,entropy,mahalanobis,0.05865006727930101,0.8680998344462294,-0.09007838494342235
Office31,resnet,entropy,knn,0.04681475576574693,0.6676257816270118,-0.2046913131659216
Office31,resnet,entropy,vim,0.048467185912226665,0.35311881881446594,-0.020545413904804022
Office31,resnet,entropy,react,0.11676587428720228,0.12604166883975268,5.960464477539063e-08
Office31,resnet,gradnorm,msp,0.1616591122550489,0.15376984523165793,-0.8462300951636973
Office31,resnet,gradnorm,energy,0.14382713676388464,0.2367949888283254,-0.8676388664769179
Office31,resnet,gradnorm,entropy,0.06652046736320458,0.09100877317158797,5.960464477539063e-08
Office31,resnet,gradnorm,gradnorm,0.1469699725003051,0.21756985349835983,-0.9898829998313019
Office31,resnet,gradnorm,mahalanobis,0.05865006727930101,0.8931928697169143,-0.918148468858139
Office31,resnet,gradnorm,knn,0.04681475576574693,0.7243737142625366,-0.9636948909597486
Office31,resnet,gradnorm,vim,0.048467185912226665,0.5562547116057143,-0.6553450957464564
Office31,resnet,gradnorm,react,0.11676587428720228,0.12604166883975268,-0.09031340935850862
Office31,resnet,mahalanobis,msp,0.1616591122550489,0.15376984523165793,-0.8462300951636973
Office31,resnet,mahalanobis,energy,0.14382713676388464,0.2367949888283254,-0.7832029350847314
Office31,resnet,mahalanobis,entropy,0.06652046736320458,0.09100877317158797,-0.7611800533267215
Office31,resnet,mahalanobis,gradnorm,0.1469699725003051,0.21756985349835983,-0.8793707054446561
Office31,resnet,mahalanobis,mahalanobis,0.05865006727930101,0.9768363117283212,-0.918148468858139
Office31,resnet,mahalanobis,knn,0.04681475576574693,0.7953086272294336,-0.8714795131508106
Office31,resnet,mahalanobis,vim,0.048467185912226665,0.9794545264905512,-0.875409017840045
Office31,resnet,mahalanobis,react,0.11676587428720228,0.12604166883975268,-0.8739582715556026
Office31,resnet,knn,msp,0.1616591122550489,0.15376984523165793,-0.8462300951636973
Office31,resnet,knn,energy,0.14382713676388464,0.2367949888283254,-0.7854249328597196
Office31,resnet,knn,entropy,0.06652046736320458,0.09100877317158797,-0.9089911672237673
Office31,resnet,knn,gradnorm,0.1469699725003051,0.21756985349835983,-0.9627396357881738
Office31,resnet,knn,mahalanobis,0.05865006727930101,0.9768363117283212,-0.918148468858139
Office31,resnet,knn,knn,0.04681475576574693,0.7953086272294336,-0.9636948909597486
Office31,resnet,knn,vim,0.048467185912226665,0.9794545264905512,-0.9177289966294885
Office31,resnet,knn,react,0.11676587428720228,0.12604166883975268,-0.8739582715556026
Office31,resnet,vim,msp,0.1616591122550489,0.15376984523165793,-0.8462300951636973
Office31,resnet,vim,energy,0.14382713676388464,0.054591139394023325,-0.7632049515670298
Office31,resnet,vim,entropy,0.06652046736320458,1.0,-0.9089911672237673
Office31,resnet,vim,gradnorm,0.1469699725003051,0.16909954422452947,-0.9511067548852692
Office31,resnet,vim,mahalanobis,0.05865006727930101,0.9768363117283212,-0.918148468858139
Office31,resnet,vim,knn,0.04681475576574693,0.7669346609116713,-0.9566014177591153
Office31,resnet,vim,vim,0.048467185912226665,0.9794545264905512,-0.9261929707950555
Office31,resnet,vim,react,0.11676587428720228,1.0,-0.8739582715556026
Office31,resnet,react,msp,0.1616591122550489,0.15376984523165793,-0.8462300951636973
Office31,resnet,react,energy,0.14382713676388464,0.2367949888283254,-0.9999999403953552
Office31,resnet,react,entropy,0.06652046736320458,0.09100877317158797,5.960464477539063e-08
Office31,resnet,react,gradnorm,0.1469699725003051,0.21756985349835983,-0.9375350666811262
Office31,resnet,react,mahalanobis,0.05865006727930101,0.8931928697169143,-0.909784145995101
Office31,resnet,react,knn,0.04681475576574693,0.6179713335021556,-0.8147315918253212
Office31,resnet,react,vim,0.048467185912226665,0.23462285661170246,-0.020545413904804022
Office31,resnet,react,react,0.11676587428720228,0.12604166883975268,5.960464477539063e-08
NICO,resnet,msp,msp,0.1532501940216337,0.14980159141123295,-0.850198408588767
NICO,resnet,msp,energy,0.11791103244910658,0.5551733182504989,-0.4016846100852032
NICO,resnet,msp,entropy,0.15276846783748305,0.16280697411628356,-0.8371930258837165
NICO,resnet,msp,gradnorm,0.0844832918353286,0.5927921941203887,-0.4123981965761314
NICO,resnet,msp,mahalanobis,0.029635415024082633,0.9149734950792656,-0.10017842287426182
NICO,resnet,msp,knn,0.038554630060884165,0.7908502129008449,-0.2091497870991551
NICO,resnet,msp,vim,0.07338751714379246,0.5909161226190873,-0.4281095170115782
NICO,resnet,msp,react,0.15488497758777175,0.19589389615228608,-0.8059717842665755
NICO,resnet,energy,msp,0.1532501940216337,0.14980159141123295,-0.850198408588767
NICO,resnet,energy,energy,0.11791103244910658,0.6198864245717048,-1.0
NICO,resnet,energy,entropy,0.15276846783748305,0.16280697411628356,-0.8299100114313323
NICO,resnet,energy,gradnorm,0.0844832918353286,0.6239345428240668,-0.9833412048652503
NICO,resnet,energy,mahalanobis,0.029635415024082633,0.9301254155093304,-0.8198946280303572
NICO,resnet,energy,knn,0.038554630060884165,0.8104313361286276,-0.8749079683091605
NICO,resnet,energy,vim,0.07338751714379246,0.3626084387586056,-0.4090838773809127
NICO,resnet,energy,react,0.15488497758777175,0.21455070196724907,-1.0
NICO,resnet,entropy,msp,0.1532501940216337,0.14980159141123295,-0.850198408588767
NICO,resnet,entropy,energy,0.11791103244910658,0.5012457374844342,-0.3855063340925221
NICO,resnet,entropy,entropy,0.15276846783748305,0.1700899885686678,-0.9027401543679912
NICO,resnet,entropy,gradnorm,0.0844832918353286,0.6239345428240668,-0.42277897796917174
NICO,resnet,entropy,mahalanobis,0.029635415024082633,0.9301254155093304,-0.115330344129839
NICO,resnet,entropy,knn,0.038554630060884165,0.8039042952897725,-0.2091497870991551
NICO,resnet,entropy,vim,0.07338751714379246,0.5909161226190873,-0.45189156603162917
NICO,resnet,entropy,react,0.15488497758777175,0.18469981201276942,-0.7966433821722676
NICO,resnet,gradnorm,msp,0.1532501940216337,0.14980159141123295,-0.850198408588767
NICO,resnet,gradnorm,energy,0.11791103244910658,0.6198864245717048,-1.0
NICO,resnet,gradnorm,entropy,0.15276846783748305,0.1700899885686678,-0.8954571407091986
NICO,resnet,gradnorm,gradnorm,0.0844832918353286,0.6239345428240668,-0.9833412048652503
NICO,resnet,gradnorm,mahalanobis,0.029635415024082633,0.9377013753116065,-0.9486858778025425
NICO,resnet,gradnorm,knn,0.038554630060884165,0.8104313361286276,-0.953232404322909
NICO,resnet,gradnorm,vim,0.07338751714379246,0.5909161226190873,-0.4090838773809127
NICO,resnet,gradnorm,react,0.15488497758777175,0.21455070196724907,-1.0
NICO,resnet,mahalanobis,msp,0.1532501940216337,0.14980159141123295,-0.850198408588767
NICO,resnet,mahalanobis,energy,0.11791103244910658,0.6198864245717048,-0.967924280993827
NICO,resnet,mahalanobis,entropy,0.15276846783748305,0.1700899885686678,-0.9391552290106876
NICO,resnet,mahalanobis,gradnorm,0.0844832918353286,0.6239345428240668,-0.9729604596686652
NICO,resnet,mahalanobis,mahalanobis,0.029635415024082633,0.9377013753116065,-0.9486858778025425
NICO,resnet,mahalanobis,knn,0.038554630060884165,0.8104313361286276,-0.953232404322909
NICO,resnet,mahalanobis,vim,0.07338751714379246,0.5909161226190873,-0.47091720773541856
NICO,resnet,mahalanobis,react,0.15488497758777175,0.21455070196724907,-0.975748726778187
NICO,resnet,knn,msp,0.1532501940216337,0.14980159141123295,-0.850198408588767
NICO,resnet,knn,energy,0.11791103244910658,0.6091009072432508,-1.0
NICO,resnet,knn,entropy,0.15276846783748305,0.1700899885686678,-0.9173061880343101
NICO,resnet,knn,gradnorm,0.0844832918353286,0.6239345428240668,-0.9833412048652503
NICO,resnet,knn,mahalanobis,0.029635415024082633,0.9377013753116065,-0.9486858778025425
NICO,resnet,knn,knn,0.038554630060884165,0.8104313361286276,-0.953232404322909
NICO,resnet,knn,vim,0.07338751714379246,0.5909161226190873,-0.4233531076221928
NICO,resnet,knn,react,0.15488497758777175,0.2126850213450941,-0.9962712113856644
NICO,resnet,vim,msp,0.1532501940216337,0.14980159141123295,-0.850198408588767
NICO,resnet,vim,energy,0.11791103244910658,0.059039509389205325,-0.38011357542829516
NICO,resnet,vim,entropy,0.15276846783748305,0.1700899885686678,-1.0
NICO,resnet,vim,gradnorm,0.0844832918353286,0.5253171105410694,-0.49025406154849116
NICO,resnet,vim,mahalanobis,0.029635415024082633,0.884669655870161,-0.8805022998444667
NICO,resnet,vim,knn,0.038554630060884165,0.7712690896730622,-0.5811911170475506
NICO,resnet,vim,vim,0.07338751714379246,0.5909161226190873,-0.9655838091089896
NICO,resnet,vim,react,0.15488497758777175,0.041042410002344515,-0.785449298032751
NICO,resnet,react,msp,0.1532501940216337,0.14980159141123295,-0.850198408588767
NICO,resnet,react,energy,0.11791103244910658,0.6198864245717048,-1.0
NICO,resnet,react,entropy,0.15276846783748305,0.1700899885686678,-0.8299100114313323
NICO,resnet,react,gradnorm,0.0844832918353286,0.6239345428240668,-0.9833412048652503
NICO,resnet,react,mahalanobis,0.029635415024082633,0.9377013753116065,-0.7517109444066866
NICO,resnet,react,knn,0.038554630060884165,0.8104313361286276,-0.8749079683091605
NICO,resnet,react,vim,0.07338751714379246,0.5005443359282689,-0.4090838773809127
NICO,resnet,react,react,0.15488497758777175,0.21455070196724907,-1.0
Camelyon17,resnet,msp,msp,0.19359410336228458,0.5982142956483931,-0.4017857043516069
Camelyon17,resnet,msp,energy,0.19060019742182424,0.6054687601201956,-0.43146305937586504
Camelyon17,resnet,msp,entropy,0.19359410336228458,0.5982142956483931,-0.4017857043516069
Camelyon17,resnet,msp,gradnorm,0.19664212728158326,0.5561260275039582,-0.3650419804836843
Camelyon17,resnet,msp,mahalanobis,0.13785898615887812,0.7579259140425515,-0.41491537928238387
Camelyon17,resnet,msp,knn,0.1507331944650066,0.7020486048146312,-0.4620426538651323
Camelyon17,resnet,msp,vim,0.10858919273111658,0.5727119514891589,-0.3785165004538329
Camelyon17,resnet,msp,react,0.19575100287902403,0.5986822179621614,-0.369873392244338
Camelyon17,resnet,energy,msp,0.19359410336228458,0.5982142956483931,-0.4017857043516069
Camelyon17,resnet,energy,energy,0.19060019742182424,0.6054687601201956,-0.7761600534462909
Camelyon17,resnet,energy,entropy,0.19359410336228458,0.5982142956483931,-0.4017857043516069
Camelyon17,resnet,energy,gradnorm,0.19664212728158326,0.5561260275039582,-0.3650419804836843
Camelyon17,resnet,energy,mahalanobis,0.13785898615887812,0.7606694265493543,-0.5850131385150734
Camelyon17,resnet,energy,knn,0.1507331944650066,0.7045730858701825,-0.6236094414204167
Camelyon17,resnet,energy,vim,0.10858919273111658,0.5239403739148001,-0.35600653930279424
Camelyon17,resnet,energy,react,0.19575100287902403,0.5986822179621614,-0.369873392244338
Camelyon17,resnet,entropy,msp,0.19359410336228458,0.5982142956483931,-0.4017857043516069
Camelyon17,resnet,entropy,energy,0.19060019742182424,0.6054687601201956,-0.4560842723732388
Camelyon17,resnet,entropy,entropy,0.19359410336228458,0.5982142956483931,-0.4017857043516069
Camelyon17,resnet,entropy,gradnorm,0.19664212728158326,0.5775041944729886,-0.3650419804836843
Camelyon17,resnet,entropy,mahalanobis,0.13785898615887812,0.7579259140425515,-0.4588115793912282
Camelyon17,resnet,entropy,knn,0.1507331944650066,0.7020486048146312,-0.5049588491888812
Camelyon17,resnet,entropy,vim,0.10858919273111658,0.5877185725782843,-0.38601981099839566
Camelyon17,resnet,entropy,react,0.19575100287902403,0.5908211205137862,-0.369873392244338
Camelyon17,resnet,gradnorm,msp,0.19359410336228458,0.5982142956483931,-0.4017857043516069
Camelyon17,resnet,gradnorm,energy,0.19060019742182424,0.24230586235533613,-0.39453123987980443
Camelyon17,resnet,gradnorm,entropy,0.19359410336228458,0.5982142956483931,-0.4017857043516069
Camelyon17,resnet,gradnorm,gradnorm,0.19664212728158326,0.6349580195163157,-0.4906387140548536
Camelyon17,resnet,gradnorm,mahalanobis,0.13785898615887812,0.4753441204455053,-0.3106618986275178
Camelyon17,resnet,gradnorm,knn,0.1507331944650066,0.44202706105838135,-0.3181472436297794
Camelyon17,resnet,gradnorm,vim,0.10858919273111658,0.49767875749147994,-0.43479138857275457
Camelyon17,resnet,gradnorm,react,0.19575100287902403,0.627506241939537,-0.369873392244338
Camelyon17,resnet,mahalanobis,msp,0.19359410336228458,0.5982142956483931,-0.4017857043516069
Camelyon17,resnet,mahalanobis,energy,0.19060019742182424,0.6054687601201956,-0.7022963902397826
Camelyon17,resnet,mahalanobis,entropy,0.19359410336228458,0.5982142956483931,-0.4017857043516069
Camelyon17,resnet,mahalanobis,gradnorm,0.19664212728158326,0.6002184981916413,-0.3650419804836843
Camelyon17,resnet,mahalanobis,mahalanobis,0.13785898615887812,0.7771305015901709,-0.5850131385150734
Camelyon17,resnet,mahalanobis,knn,0.1507331944650066,0.7096220479812851,-0.5857422429665236
Camelyon17,resnet,mahalanobis,vim,0.10858919273111658,0.9141129059576188,-0.4310397333004732
Camelyon17,resnet,mahalanobis,react,0.19575100287902403,0.627506241939537,-0.3986974162217136
Camelyon17,resnet,knn,msp,0.19359410336228458,0.5982142956483931,-0.4017857043516069
Camelyon17,resnet,knn,energy,0.19060019742182424,0.6054687601201956,-0.5422585178640469
Camelyon17,resnet,knn,entropy,0.19359410336228458,0.5982142956483931,-0.4017857043516069
Camelyon17,resnet,knn,gradnorm,0.19664212728158326,0.6028907690627702,-0.3650419804836843
Camelyon17,resnet,knn,mahalanobis,0.13785898615887812,0.7771305015901709,-0.5795261188978287
Camelyon17,resnet,knn,knn,0.1507331944650066,0.7096220479812851,-0.6236094414204167
Camelyon17,resnet,knn,vim,0.10858919273111658,0.7790531833274124,-0.5060728977808014
Camelyon17,resnet,knn,react,0.19575100287902403,0.6065433154105365,-0.39083631877333846
Camelyon17,resnet,vim,msp,0.19359410336228458,0.5982142956483931,-0.4017857043516069
Camelyon17,resnet,vim,energy,0.19060019742182424,0.6054687601201956,-0.40068654312914787
Camelyon17,resnet,vim,entropy,0.19359410336228458,0.5982142956483931,-0.4017857043516069
Camelyon17,resnet,vim,gradnorm,0.19664212728158326,0.6269412069029293,-0.3650419804836843
Camelyon17,resnet,vim,mahalanobis,0.13785898615887812,0.7771305015901709,-0.5712955894719615
Camelyon17,resnet,vim,knn,0.1507331944650066,0.7045730858701825,-0.48476300074447065
Camelyon17,resnet,vim,vim,0.10858919273111658,0.9141129059576188,-0.5811060622611297
Camelyon17,resnet,vim,react,0.19575100287902403,0.6248858761234118,-0.4196603453277825
Camelyon17,resnet,react,msp,0.19359410336228458,0.5982142956483931,-0.4017857043516069
Camelyon17,resnet,react,energy,0.19060019742182424,0.6054687601201956,-0.39453123987980443
